"","global_level","date","cases","new_cases","deaths","new_deaths","days_since_death10","days_since_case100"
"1","Global",2020-01-22,555,555,17,17,1,1
"2","Global",2020-01-23,654,99,18,1,2,2
"3","Global",2020-01-24,941,287,26,8,3,3
"4","Global",2020-01-25,1434,493,42,16,4,4
"5","Global",2020-01-26,2118,684,56,14,5,5
"6","Global",2020-01-27,2927,809,82,26,6,6
"7","Global",2020-01-28,5578,2651,131,49,7,7
"8","Global",2020-01-29,6166,588,133,2,8,8
"9","Global",2020-01-30,8234,2068,171,38,9,9
"10","Global",2020-01-31,9927,1693,213,42,10,10
"11","Global",2020-02-01,12038,2111,259,46,11,11
"12","Global",2020-02-02,16787,4749,362,103,12,12
"13","Global",2020-02-03,19881,3094,426,64,13,13
"14","Global",2020-02-04,23892,4011,492,66,14,14
"15","Global",2020-02-05,27635,3743,564,72,15,15
"16","Global",2020-02-06,30794,3159,634,70,16,16
"17","Global",2020-02-07,34391,3597,719,85,17,17
"18","Global",2020-02-08,37120,2729,806,87,18,18
"19","Global",2020-02-09,40150,3030,906,100,19,19
"20","Global",2020-02-10,42762,2612,1013,107,20,20
"21","Global",2020-02-11,44802,2040,1113,100,21,21
"22","Global",2020-02-12,45221,419,1118,5,22,22
"23","Global",2020-02-13,60368,15147,1371,253,23,23
"24","Global",2020-02-14,66885,6517,1523,152,24,24
"25","Global",2020-02-15,69030,2145,1666,143,25,25
"26","Global",2020-02-16,71224,2194,1770,104,26,26
"27","Global",2020-02-17,73258,2034,1868,98,27,27
"28","Global",2020-02-18,75136,1878,2007,139,28,28
"29","Global",2020-02-19,75639,503,2122,115,29,29
"30","Global",2020-02-20,76197,558,2247,125,30,30
"31","Global",2020-02-21,76819,622,2251,4,31,31
"32","Global",2020-02-22,78572,1753,2458,207,32,32
"33","Global",2020-02-23,78958,386,2469,11,33,33
"34","Global",2020-02-24,79561,603,2629,160,34,34
"35","Global",2020-02-25,80406,845,2708,79,35,35
"36","Global",2020-02-26,81388,982,2770,62,36,36
"37","Global",2020-02-27,82746,1358,2814,44,37,37
"38","Global",2020-02-28,84112,1366,2872,58,38,38
"39","Global",2020-02-29,86011,1899,2941,69,39,39
"40","Global",2020-03-01,88369,2358,2996,55,40,40
"41","Global",2020-03-02,90306,1937,3085,89,41,41
"42","Global",2020-03-03,92840,2534,3160,75,42,42
"43","Global",2020-03-04,95120,2280,3254,94,43,43
"44","Global",2020-03-05,97886,2766,3347,93,44,44
"45","Global",2020-03-06,101801,3915,3459,112,45,45
"46","Global",2020-03-07,105847,4046,3558,99,46,46
"47","Global",2020-03-08,109821,3974,3801,243,47,47
"48","Global",2020-03-09,113590,3769,3987,186,48,48
"49","Global",2020-03-10,118620,5030,4263,276,49,49
"50","Global",2020-03-11,125875,7255,4614,351,50,50
"51","Global",2020-03-12,128352,2477,4722,108,51,51
"52","Global",2020-03-13,145219,16867,5408,686,52,52
"53","Global",2020-03-14,156116,10897,5830,422,53,53
"54","Global",2020-03-15,167466,11350,6472,642,54,54
"55","Global",2020-03-16,181603,14137,7150,683,55,55
"56","Global",2020-03-17,197113,15510,7956,806,56,56
"57","Global",2020-03-18,214846,17733,8823,867,57,57
"58","Global",2020-03-19,242616,27770,9946,1125,58,58
"59","Global",2020-03-20,272247,29631,11422,1477,59,59
"60","Global",2020-03-21,304555,32308,13125,1707,60,60
"61","Global",2020-03-22,337018,32463,14825,1701,61,61
"62","Global",2020-03-23,378282,41264,16759,1934,62,62
"63","Global",2020-03-24,418079,39812,19014,2255,63,63
"64","Global",2020-03-25,467723,49644,21785,2771,64,64
"65","Global",2020-03-26,529701,61978,24788,3006,65,65
"66","Global",2020-03-27,593423,63722,28288,3500,66,66
"67","Global",2020-03-28,660824,67401,31797,3509,67,67
"68","Global",2020-03-29,720285,59461,35323,3526,68,68
"69","Global",2020-03-30,782490,62205,39439,4116,69,69
"70","Global",2020-03-31,857608,75118,44238,4799,70,70
"71","Global",2020-04-01,932638,75030,49675,5437,71,71
"72","Global",2020-04-02,1013458,80820,55817,6142,72,72
"73","Global",2020-04-03,1095876,82418,61812,5995,73,73
"74","Global",2020-04-04,1176059,80183,67981,6170,74,74
"75","Global",2020-04-05,1249737,73678,73076,5097,75,75
"76","Global",2020-04-06,1321427,71690,78767,5692,76,76
"77","Global",2020-04-07,1396438,75011,86662,7895,77,77
"78","Global",2020-04-08,1480200,83762,93354,6692,78,78
"79","Global",2020-04-09,1565538,85338,100882,7528,79,79
"80","Global",2020-04-10,1657929,92391,108113,7231,80,80
"81","Global",2020-04-11,1736025,78096,114146,6064,81,81
"82","Global",2020-04-12,1835164,99153,119853,5707,82,82
"83","Global",2020-04-13,1905192,70028,125561,5708,83,83
"84","Global",2020-04-14,1975581,70389,132456,6897,84,84
"85","Global",2020-04-15,2055506,79925,140677,8221,85,85
"86","Global",2020-04-16,2151872,96366,147965,7288,86,86
"87","Global",2020-04-17,2239723,87851,156824,8859,87,87
"88","Global",2020-04-18,2317339,77617,163234,6410,88,88
"89","Global",2020-04-19,2400843,83504,167797,4563,89,89
"90","Global",2020-04-20,2471759,70916,173120,5323,90,90
"91","Global",2020-04-21,2548821,77062,180257,7137,91,91
"92","Global",2020-04-22,2624107,77474,186930,6673,92,92
"93","Global",2020-04-23,2707742,83635,193677,6747,93,93
"94","Global",2020-04-24,2811603,103861,200004,6327,94,94
"95","Global",2020-04-25,2897624,86163,206184,6182,95,95
"96","Global",2020-04-26,2972363,74740,209891,3707,96,96
"97","Global",2020-04-27,3041764,69401,214468,4577,97,97
"98","Global",2020-04-28,3116398,75156,220777,6309,98,98
"99","Global",2020-04-29,3193886,80000,227638,6861,99,99
